claim_id,substance_canonical,claim_text_exact,conditions_of_use,requires_source_of,on_hold,claim_category,reg_reference,health_relationship
GB-GLUCOMANNAN-KONJAC-MANNAN--0093,Glucomannan (konjac mannan),Glucomannan in the context of an energy restricted diet contributes to weight loss,"The claim may be used only for food which contains 1 g of glucomannan per quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 3 g of glucomannan in three doses of 1 g each, together with 1-2 glasses of water, before meals and in the context of an energy-restricted diet.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of body weight
GB-00808,Guar Gum,Guar gum contributes to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which provides a daily intake of 10 g of guar gum. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 10 g of guar gum.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Maintenance of normal blood cholesterol concentrations
GB-00815,Hydroxypropyl methylcellulose (HPMC),Hydroxypropyl methylcellulose contributes to the maintenance of normal blood cholesterol levels,The claim may be used only for food which provides a daily intake of 5 g of HPMC. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 5 g of HPMC.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
GB-00273,Iodine,Iodine contributes to normal cognitive function,The claim may be used only for food which is at least a source of iodine as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal cognitive and neurological function
GB-IODINE-0097,Iodine,Iodine contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of iodine as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal energy-yielding metabolism
GB-00273,Iodine,Iodine contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of iodine as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal cognitive and neurological function
GB-00370,Iodine,Iodine contributes to the maintenance of normal skin,The claim may be used only for food which is at least a source of iodine as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of skin
GB-IODINE-0101,Iodine,Iodine contributes to the normal production of thyroid hormones and normal thyroid function,The claim may be used only for food which is at least a source of iodine as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal thyroid function and production of thyroid hormones
GB-00253,Iron,Iron contributes to normal cognitive function,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,cognitive function
GB-IRON-0104,Iron,Iron contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal energy-yielding metabolism
GB-IRON-0106,Iron,Iron contributes to normal formation of red blood cells and haemoglobin,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,formation of red blood cells and haemoglobin
GB-IRON-0108,Iron,Iron contributes to normal oxygen transport in the body,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,oxygen transport
GB-IRON-0110,Iron,Iron contributes to the normal function of the immune system,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,function of the immune system
GB-IRON-0111,Iron,Iron contributes to the reduction of tiredness and fatigue,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of tiredness and fatigue
GB-00368,Iron,Iron has a role in the process of cell division,The claim may be used only for food which is at least a source of iron as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,cell division
GB-LACTASE-ENZYME-0113,Lactase enzyme,Lactase enzyme improves lactose digestion in individuals who have difficulty digesting lactose,"The claim may be used only for food supplements, with a minimum dose of 4500 FCC (Food Chemicals Codex) units with instructions to the target population to consume with each lactose containing meal.       Information shall also be given to the target population that tolerance to lactose is variable and they should seek advice as to the role of this substance in their diet.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,breaking down lactose
GB-00807,Lactulose,Lactulose contributes to an acceleration of intestinal transit,"The claim may be used only for food which contains 10 g of lactulose in a single quantified portion. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a single serving of 10 g of lactulose per day.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction in intestinal transit time
GB-LINOLEIC-ACID-0116,Linoleic acid,Linoleic acid contributes to the maintenance of normal blood cholesterol levels,"The claim may be used only for a food which provides at least 1,5 g of linoleic acid (LA) per 100 g and per 100 kcal. 
Information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 10 g of LA.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
GB-LIVE-YOGHURT-CULTURES-0118,Live yoghurt cultures,Live cultures in yoghurt or fermented milk improve lactose digestion of the product in individuals who have difficulty digesting lactose,"In order to bear the claim, Yoghurt or fermented milk should contain at least 10⁸  Colony Forming Units live starter microorganisms (Lactobacillus delbrueckii subsp. bulgaricus and Streptococcus thermophilus) per gram.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,improved lactose digestion
GB-00244,Magnesium,Magnesium contributes to a reduction of tiredness and fatigue,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Reduction of tiredness and fatigue
GB-00238,Magnesium,Magnesium contributes to electrolyte balance,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,electrolyte balance
GB-MAGNESIUM-0121,Magnesium,Magnesium contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,energy-yielding metabolism
GB-00242,Magnesium,Magnesium contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,neurotransmission and muscle contraction including heart muscle
GB-MAGNESIUM-0123,Magnesium,Magnesium contributes to normal muscle function,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,neurotransmission and muscle contraction including heart muscle
GB-00364,Magnesium,Magnesium contributes to normal protein synthesis,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,protein synthesis
GB-MAGNESIUM-0126,Magnesium,Magnesium contributes to normal psychological function,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Contribution to normal psychological functions
GB-00239,Magnesium,Magnesium contributes to the maintenance of normal bones,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of bones
GB-00239,Magnesium,Magnesium contributes to the maintenance of normal teeth,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of teeth
GB-00365,Magnesium,Magnesium has a role in the process of cell division,The claim may be used only for food which is at least a source of magnesium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,cell division
GB-MANGANESE-0130,Manganese,Manganese contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of manganese as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal energy-yielding metabolism
GB-00310,Manganese,Manganese contributes to the maintenance of normal bones,The claim may be used only for food which is at least a source of manganese as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of bones
GB-00404,Manganese,Manganese contributes to the normal formation of connective tissue,The claim may be used only for food which is at least a source of manganese as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal formation of connective tissue
GB-00309,Manganese,Manganese contributes to the protection of cells from oxidative stress,The claim may be used only for food which is at least a source of manganese as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,metabolism of fatty acids
GB-01223,Meat or fish,Meat or fish contributes to the improvement of iron absorption when eaten with other foods containing iron,The claim may be used only for food which contains at least 50 g of meat or fish in a single quantified portion. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained by consuming 50 g of meat or fish together with food(s) containing non-haem iron.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,improvement of non-haem iron absorption
GB-01953,Melatonin,Melatonin contributes to the alleviation of subjective feelings of jet lag,"The claim may be used only for food which contains at least 0,5 mg of melatonin per quantified portion. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a minimum intake of 0,5 mg to be taken close to bedtime on the first day of travel and on the following few days after arrival at the destination.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Alleviation of subjective feelings of jet lag
GB-MELATONIN-0137,Melatonin,Melatonin contributes to the reduction of time taken to fall asleep,"The claim may be used only for food which contains 1 mg of melatonin per quantified portion. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained by consuming 1 mg of melatonin close to bedtime.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of sleep onset latency
GB-00313,Molybdenum,Molybdenum contributes to normal sulphur amino acid metabolism,The claim may be used only for food which is at least a source of molybdenum as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal amino acid metabolism
GB-MONASCUS-PURPUREOUS-RED-YEAST-RICE--0139,Monascus purpureous (red yeast rice),Monacolin K from red yeast rice contributes to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which provides a daily intake of 10 mg of monacolin K from red yeast rice. In order to bear the claim, information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 10 mg of monacolin K from fermented red yeast rice preparations.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood LDL-cholesterol concentrations
GB-NIACIN-0140,Niacin,Niacin contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of niacin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal energy-yielding metabolism
GB-NIACIN-0142,Niacin,Niacin contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of niacin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,function of the nervous system
GB-00055,Niacin,Niacin contributes to normal psychological function,The claim may be used only for food which is at least a source of niacin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal psychological functions
GB-NIACIN-0144,Niacin,Niacin contributes to the maintenance of normal mucous membranes,The claim may be used only for food which is at least a source of niacin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal skin and mucous membranes
GB-NIACIN-0146,Niacin,Niacin contributes to the maintenance of normal skin,The claim may be used only for food which is at least a source of niacin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal skin and mucous membranes
GB-00047,Niacin,Niacin contributes to the reduction of tiredness and fatigue,The claim may be used only for food which is at least a source of niacin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of tiredness and fatigue
GB-00822,Oat grain fibre,Oat grain fibre contributes to an increase in faecal bulk,The claim may be used only for food which is high in that fibre as referred to in the claim HIGH FIBRE as listed in the Annex to Regulation (EC) No 1924/2006.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,increase in faecal bulk
GB-OLIVE-OIL-POLYPHENOLS-0150,Olive oil polyphenols,Olive oil polyphenols contribute to the protection of blood lipids from oxidative stress,The claim may be used only for olive oil which contains at least 5 mg of hydroxytyrosol and its derivatives (e.g. oleuropein complex and tyrosol) per 20 g of olive oil. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 20 g of olive oil.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,protection of LDL particles from oxidative damage
GB-PANTOTHENIC-ACID-0151,Pantothenic acid,Pantothenic acid contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of pantothenic acid as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,energy-yielding metabolism
GB-PANTOTHENIC-ACID-0152,Pantothenic acid,Pantothenic acid contributes to normal mental performance,The claim may be used only for food which is at least a source of pantothenic acid as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,mental performance
GB-00181,Pantothenic acid,"Pantothenic acid contributes to normal synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters",The claim may be used only for food which is at least a source of pantothenic acid as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,"synthesis and metabolism of steroid hormones, vitamin D and some neurotransmitters"
GB-00063,Pantothenic acid,Pantothenic acid contributes to the reduction of tiredness and fatigue,The claim may be used only for food which is at least a source of pantothenic acid as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of tiredness and fatigue
GB-PECTINS-0156,Pectins,Pectins contribute to the maintenance of normal blood cholesterol levels,The claim may be used only for food which provides a daily intake of 6 g of pectins. In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of 6 g of pectins.       Warning of choking to be given for people with swallowing difficulties or when ingesting with inadequate fluid intake - advice on taking with plenty of water to ensure substance reaches stomach.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
GB-PHOSPHORUS-0158,Phosphorus,Phosphorus contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of phosphorus as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,energy-yielding metabolism
GB-00328,Phosphorus,Phosphorus contributes to normal function of cell membranes,The claim may be used only for food which is at least a source of phosphorus as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,function of cell membranes
GB-PHOSPHORUS-0160,Phosphorus,Phosphorus contributes to the maintenance of normal bones,The claim may be used only for food which is at least a source of phosphorus as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of bone and teeth
GB-PHOSPHORUS-0161,Phosphorus,Phosphorus contributes to the maintenance of normal teeth,The claim may be used only for food which is at least a source of phosphorus as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of bone and teeth
GB-PLANT-STEROLS-AND-PLANT-STANOLS-0162,Plant sterols and plant stanols,Plant sterols/stanols contribute to the maintenance of normal blood cholesterol levels,In order to bear the claim information shall be given to the consumer that the beneficial effect is obtained with a daily intake of at least 0.8 g of plant sterols/stanols.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood cholesterol concentrations
GB-00386,Potassium,Potassium contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of potassium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Muscular and neurological function
GB-00320,Potassium,Potassium contributes to normal muscle function,The claim may be used only for food which is at least a source of potassium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Muscular and neurological function
GB-00321,Potassium,Potassium contributes to the maintenance of normal blood pressure,The claim may be used only for food which is at least a source of potassium as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Blood pressure
GB-PROTEIN-0167,Protein,Protein contributes to a growth in muscle mass,The claim may be used only for food which is at least a source of protein as referred to in the claim SOURCE OF PROTEIN as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,growth or maintenance of muscle mass
GB-PROTEIN-0169,Protein,Protein contributes to the maintenance of muscle mass,The claim may be used only for food which is at least a source of protein as referred to in the claim SOURCE OF PROTEIN as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,growth or maintenance of muscle mass
GB-PROTEIN-0171,Protein,Protein contributes to the maintenance of normal bones,The claim may be used only for food which is at least a source of protein as referred to in the claim SOURCE OF PROTEIN as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal bones
GB-FOODS-WITH-A-LOW-OR-REDUCED-CONTENT-OF-SATURATED-FATTY-ACIDS-0173,Foods with a low or reduced content of saturated fatty acids,Reducing consumption of saturated fat contributes to the maintenance of normal blood cholesterol levels,"The claim may be used only for food which is at least low in saturated fatty acids, as referred to in the claim LOW SATURATED FAT 
or reduced in saturated fatty acids as referred to in the claim
REDUCED [NAME OF NUTRIENT] as listed in the Annex to Regulation (EC) No 1924/2006.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood LDL-cholesterol concentrations
GB-FOODS-WITH-A-LOW-OR-REDUCED-CONTENT-OF-SODIUM-0174,Foods with a low or reduced content of sodium,Reducing consumption of sodium contributes to the maintenance of normal blood pressure,"The claim may be used only for food which is at least low in sodium/salt as referred to in the claim LOW SODIUM/SALT
or reduced in sodium/salt as referred to in the claim
REDUCED [NAME OF NUTRIENT] as listed in the Annex to Regulation (EC) No 1924/2006.",True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood pressure
GB-00681,Resistant starch,Replacing digestible starches with resistant starch in a meal contributes to a reduction in the blood glucose rise after that meal.,The claim may be used only for food in which digestible starch has been replaced by resistant starch so that the final content of resistant starch is at least 14 % of total starch.,False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,reduction of post-prandial glycaemic responses
GB-OLEIC-ACID-0176,Oleic acid,Replacing saturated fats in the diet with unsaturated fats contributes to the maintenance of normal blood cholesterol levels. Oleic acid is an unsaturated fat.,"The claim may be used only for food which is high in unsaturated fatty acids, as referred to in the claim HIGH UNSATURATED FAT as listed in the Annex to Regulation (EC) No 1924/2006.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal blood LDL-cholesterol concentrations
GB-MONOUNSATURATED-AND-OR-POLYUNSATURATED-FATTY-ACIDS-0177,Monounsaturated and/or polyunsaturated fatty acids,Replacing saturated fats with unsaturated fats in the diet contributes to the maintenance of normal blood cholesterol levels [MUFA and PUFA are unsaturated fats],"The claim may be used only for food which is high in unsaturated fatty acids, as referred to in the claim HIGH UNSATURATED FAT as listed in the Annex to Regulation (EC) No 1924/2006.",False,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,Replacement of mixtures of saturated fatty acids (SFAs) as present in foods or diets with mixtures of polyunsaturated fatty acids (PUFAs) and maintenance of normal blood LDL-cholesterol concentrations
GB-RIBOFLAVIN-VITAMIN-B2--0179,Riboflavin (Vitamin B2),Riboflavin contributes to normal energy-yielding metabolism,The claim may be used only for food which is at least a source of riboflavin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,contribution to normal energy-yielding metabolism
GB-00213,Riboflavin (Vitamin B2),Riboflavin contributes to normal functioning of the nervous system,The claim may be used only for food which is at least a source of riboflavin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of the normal functon of the nervous system
GB-00031,Riboflavin (Vitamin B2),Riboflavin contributes to the maintenance of normal mucous membranes,The claim may be used only for food which is at least a source of riboflavin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal skin and mucous membranes
GB-00040,Riboflavin (Vitamin B2),Riboflavin contributes to the maintenance of normal red blood cells,The claim may be used only for food which is at least a source of riboflavin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal red blood cells
GB-RIBOFLAVIN-VITAMIN-B2--0183,Riboflavin (Vitamin B2),Riboflavin contributes to the maintenance of normal skin,The claim may be used only for food which is at least a source of riboflavin as referred to in the claim SOURCE OF [NAME OF VITAMIN/S] AND/OR [NAME OF MINERAL/S] as listed in the Annex to Regulation (EC) No 1924/2006.,True,False,Art.13(1),Commission Regulation (EU) 432/2012 of 16/05/2012,maintenance of normal skin and mucous membranes
